date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:40	4780/4780	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-12ac%22	https://lolbas-project.github.io/lolbas/Binaries/Netsh/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Netsh/index.html	(from https://lolbas-project.github.io/)
09:29:41	5023/5023	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-139f%22	https://lolbas-project.github.io/lolbas/Binaries/Odbcconf/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Odbcconf/index.html	(from https://lolbas-project.github.io/)
09:29:42	4984/4984	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1378%22	https://lolbas-project.github.io/lolbas/Binaries/Pcalua/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Pcalua/index.html	(from https://lolbas-project.github.io/)
09:29:42	4112/4112	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1010%22	https://lolbas-project.github.io/lolbas/Binaries/Pcwrun/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Pcwrun/index.html	(from https://lolbas-project.github.io/)
09:29:43	4605/4605	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-11fd%22	https://lolbas-project.github.io/lolbas/Binaries/Pktmon/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Pktmon/index.html	(from https://lolbas-project.github.io/)
09:29:43	3978/3978	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-f8a%22	https://lolbas-project.github.io/lolbas/Binaries/Pnputil/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Pnputil/index.html	(from https://lolbas-project.github.io/)
09:29:44	4474/4474	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-117a%22	https://lolbas-project.github.io/lolbas/Binaries/Presentationhost/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Presentationhost/index.html	(from https://lolbas-project.github.io/)
09:29:45	5511/5511	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1587%22	https://lolbas-project.github.io/lolbas/Binaries/Print/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Print/index.html	(from https://lolbas-project.github.io/)
09:29:45	4559/4559	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-11cf%22	https://lolbas-project.github.io/lolbas/Binaries/Psr/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Psr/index.html	(from https://lolbas-project.github.io/)
09:29:47	4453/4453	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1165%22	https://lolbas-project.github.io/lolbas/Binaries/Rasautou/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Rasautou/index.html	(from https://lolbas-project.github.io/)
09:29:47	253164/253164	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202021%2009:29:08%20GMT	https://raw.githubusercontent.com/LOLBAS-Project/LOLBAS/master/Logo/LOLBAS.png	D:/Downloads/LOLBAS/raw.githubusercontent.com/LOLBAS-Project/LOLBAS/master/Logo/LOLBAS.png	(from https://lolbas-project.github.io/)
